fibre,nu_lo,nu_hi,N,eta,rho,q_raw,q_hat,X_bd,L_bd,L3,tail_bound,u3_core_upper,u3_upper,a3_lower
plus,0.0001,0.00015000000000000001,250,7.205751046479761e-14,0.395821308958051,0.5650985678792699,0.7371683169603409,0.35782458794922317,0.3044951073346779,8.403442707350189e-05,0.7693370900477956,-0.00036955515955896975,-0.00030490435797040814,0.00030490435797040814
plus,0.00015000000000000001,0.00022500000000000002,250,7.011474008712244e-14,0.39514486514115243,0.37673237858618,0.4539374889443209,0.32743694620557834,0.20493356755763897,8.64749264651426e-05,0.22590105909769112,-0.0005532031783066335,-0.0005336684008327629,0.0005336684008327629
plus,0.00022500000000000002,0.0003375,250,5.0663023619710914e-14,0.39450987960421513,0.2511549190574533,0.2854808282162787,0.30399305268709415,0.13667225506729222,8.785605882676314e-05,0.10685416648941301,-0.0008274037364005016,-0.0008180159504635229,0.0008180159504635229
plus,0.0003375,0.00050625,250,4.6486249734327575e-14,0.3940236514569399,0.16743661270496887,0.18265236354500075,0.2872690495415479,0.09087469337929535,8.879140852023084e-05,0.058848101401295094,-0.0012360397787215484,-0.001230814572909386,0.001230814572909386
plus,0.00050625,0.000759375,250,3.596165497463467e-14,0.3939536215534019,0.11162440846997926,0.11836695346455117,0.27587320212549177,0.0604038586810096,8.964658707676053e-05,0.03492857161036427,-0.0018432118495445827,-0.0018400806223082473,0.0018400806223082473
plus,0.000759375,0.001,250,2.899894942576116e-14,0.26960011041310944,0.07441627231331951,0.07728829626759975,0.15284314077523273,0.038594031453066904,5.12739087679698e-05,0.012326728640315783,-0.003473028451278304,-0.0034723964117185932,0.0034723964117185932
plus,0.001,0.0015,80,1.961786874126053e-14,0.395662548370206,0.5408527214268417,0.7012051282866401,0.3578876588473793,0.2964807248020632,0.00084989124887106,0.6478173910507293,-0.003583750101894471,-0.0030331757703739746,0.0030331757703739746
plus,0.0015,0.0022500000000000003,80,1.3704417267144009e-14,0.3979999031656149,0.36056848095122784,0.4325575473583288,0.3287346115449202,0.199654351975481,0.000885104590560957,0.20888697870424236,-0.005301773396131358,-0.005116886572371824,0.005116886572371824
plus,0.0022500000000000003,0.0033750000000000004,80,1.0515593776238468e-14,0.4012836279383195,0.24037898730081853,0.2724307025138105,0.3067143826174768,0.13333825711180564,0.0009126209798459347,0.10133425494852512,-0.007814934546535025,-0.007722454779491944,0.007722454779491944
plus,0.0033750000000000004,0.005062500000000001,80,8.42294375934939e-15,0.40302129184529106,0.16025265820054568,0.17447203549435977,0.2902965433830066,0.08873099175690106,0.0009338023423235766,0.056352776336796036,-0.011520013694075185,-0.011467391339535449,0.011467391339535449
plus,0.005062500000000001,0.0075937500000000015,80,6.093184982636776e-15,0.40475022332318383,0.10683510546703044,0.11314068295842612,0.2787514802170032,0.059021587181767546,0.0009530696224443005,0.0335796706600742,-0.016944332164850712,-0.01691232840081291,0.01691232840081291
plus,0.0075937500000000015,0.011390625000000001,80,6.280833637119516e-15,0.4026669086276157,0.07122340364468696,0.0740161850505304,0.2686881332610571,0.0392115689917856,0.0009642892651706447,0.02066654196416381,-0.025024136597886406,-0.025004208073322164,0.025004208073322164
plus,0.011390625000000001,0.017085937500000002,80,3.496005924416343e-15,0.3962179301783023,0.04748226909645798,0.048717709064230286,0.2585462674782799,0.026018974899084262,0.0009651282945820642,0.012905068835258477,-0.03710744058856583,-0.0370949855414894,0.0370949855414894
plus,0.017085937500000002,0.025628906250000003,80,3.4002624867680492e-15,0.388966422849697,0.03165484606430532,0.03220152485255038,0.24855044995803116,0.017269987259913116,0.000978762142118854,0.008129612140003208,-0.05358492656358482,-0.05357696960699208,0.05357696960699208
plus,0.025628906250000003,0.03844335937500001,80,3.574842895092375e-15,0.37355325621900587,0.021103230709536878,0.021344479620350357,0.23403757685184706,0.011431847290777852,0.0009790344167061125,0.005046667469968933,-0.07648761317041326,-0.07648267230927049,0.07648267230927049
